,partido,partido_num,candidato,nick,followers,fecha,post,post_clean,sentimiento,sentimiento_num,negative,neutral,positive,video,foto,repost,retweet,who,viewed,comments,comments vs viewed,shared,shared vs viewed,likes,likes vs viewed,votos,porcentaje,escaños,Num_words_POST,sentimiento_clean
13,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-17,"Consejo de Gobierno:

-125 millones programa de préstamo gratuito de libros de texto.

-2.275 plazas en el nuevo colegio público de El Cañaveral y ampliaciones en Parla, Madrid y Leganés.

-75 millones más para plazas para mayores de 18 años con síndrome espectro autista.","consejo de gobierno:  -125 millones programa de prestamo gratuito de libros de texto.  -2.275 plazas en el nuevo colegio publico de el canaveral y ampliaciones en parla, madrid y leganes.  -75 millones mas para plazas para mayores de 18 anos con sindrome espectro autista.",positive,2,0.2690275,0.24197741,0.48899513,False,False,False,False,False,138000,417,0.0030217391304347,329,0.0023840579710144,1107,0.0080217391304347,1586985,0.4734,70,44,consejo gobierno 125 millones programa prestamo gratuito libros texto 2275 plazas nuevo colegio publico canaveral ampliaciones parla madrid leganes 75 millones mas plazas mayores 18 anos sindrome espectro autista
14,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-17,"La Sanidad de Madrid, a la cabeza de Europa en pruebas diagnósticas.","la sanidad de madrid, a la cabeza de europa en pruebas diagnosticas.",negative,0,0.51591074,0.20995107,0.27413818,False,True,True,False,https://www.larazon.es/,237800,807,0.0033936080740117,958,0.0040285954583683,3748,0.0157611438183347,1586985,0.4734,70,12,sanidad madrid cabeza europa pruebas diagnosticas
15,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-18,"La Comunidad de Madrid registra un fuerte crecimiento de su economía en el primer trimestre del año: 1,3% con respecto al anterior. 

Recuperó en 2022 toda la riqueza perdida durante la pandemia.

Libertad, estabilidad y seguridad jurídica. 

Con 🫰🏼GANAS","la comunidad de madrid registra un fuerte crecimiento de su economia en el primer trimestre del ano: 1,3% con respecto al anterior.   recupero en 2022 toda la riqueza perdida durante la pandemia.  libertad, estabilidad y seguridad juridica.   con ganas",positive,2,0.035514694,0.03352461,0.9309608,False,False,False,False,False,209700,856,0.0040820219360991,686,0.0032713400095374,2800,0.0133524082021936,1586985,0.4734,70,39,comunidad madrid registra fuerte crecimiento economia primer trimestre ano 13 respecto anterior recupero 2022 toda riqueza perdida pandemia libertad estabilidad seguridad juridica ganas
16,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-19,"Con los vecinos de Parla y muchas ganas de un nuevo ayuntamiento que solucione los problemas de ocupación, empleo y limpieza.

El sur de Madrid necesita un cambio.

Lo conseguiremos con más 🫰🏼GANAS que nunca.","con los vecinos de parla y muchas ganas de un nuevo ayuntamiento que solucione los problemas de ocupacion, empleo y limpieza.  el sur de madrid necesita un cambio.  lo conseguiremos con mas ganas que nunca.",positive,2,0.051427554,0.04493406,0.90363836,False,True,False,False,False,122700,490,0.0039934800325998,425,0.0034637326813365,1878,0.0153056234718826,1586985,0.4734,70,35,vecinos parla muchas ganas nuevo ayuntamiento solucione problemas ocupacion empleo limpieza sur madrid necesita cambio conseguiremos mas ganas nunca
17,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-19,"🔴 Activamos bombardero de #BomberosCM para ayudar en la extinción del #IFPinofranqueado.

Todo nuestro apoyo a los cacereños.",activamos bombardero de #bomberoscm para ayudar en la extincion del #ifpinofranqueado.  todo nuestro apoyo a los cacerenos.,positive,2,0.073295996,0.099989735,0.8267143,False,False,False,False,False,191000,211,0.0011047120418848,362,0.0018952879581151,2082,0.0109005235602094,1586985,0.4734,70,17,activamos bombardero bomberoscm ayudar extincion ifpinofranqueado apoyo cacerenos
18,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-21,El cambio es imparable.,el cambio es imparable.,positive,2,0.0673859,0.0530027,0.87961143,False,True,False,True," @NunezFeijoo
",233700,857,0.0036670945656824,815,0.0034873769790329,2246,0.0096106118955926,1586985,0.4734,70,4,cambio imparable
19,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-22,"Ayuso anuncia en #EntrevistasABC un plan de Educación «libre, plural y de calidad» que priorice los contenidos sobre la ideología.","ayuso anuncia en #entrevistasabc un plan de educacion <<libre, plural y de calidad>> que priorice los contenidos sobre la ideologia.",positive,2,0.11635182,0.33893612,0.54471207,False,True,False,True," @abc_es
",39400,54,0.0013705583756345,123,0.0031218274111675,377,0.0095685279187817,1586985,0.4734,70,20,ayuso anuncia entrevistasabc plan educacion libre plural calidad priorice contenidos ideologia
20,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-22,Ganas de Madrid con ganas.,ganas de madrid con ganas.,positive,2,0.080278195,0.046978217,0.8727436,False,True,False,False,False,97400,324,0.0033264887063655,341,0.0035010266940451,1770,0.0181724845995893,1586985,0.4734,70,5,ganas madrid ganas
21,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-23,Orgullosos de la mejor sanidad de Europa.,orgullosos de la mejor sanidad de europa.,positive,2,0.041757517,0.036059733,0.9221828,False,True,True,False,https://www.20minutos.es,297600,1056,0.0035483870967741,977,0.0032829301075268,3899,0.0131014784946236,1586985,0.4734,70,7,orgullosos mejor sanidad europa
22,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-23,"El 
@RMBaloncesto
 es doblemente grande: por sus éxitos deportivos y por su compromiso con los valores que nos hacen grandes. 

Gracias por traernos a casa la 11ª Copa de Europa y por haber llevado tan alto el nombre de Madrid y de España.",el    es doblemente grande: por sus exitos deportivos y por su compromiso con los valores que nos hacen grandes.   gracias por traernos a casa la 11a copa de europa y por haber llevado tan alto el nombre de madrid y de espana.,positive,2,0.030543473,0.022459457,0.94699705,False,True,False,False,False,96100,139,0.0014464099895941,318,0.003309053069719,1499,0.0155983350676378,1586985,0.4734,70,42,doblemente grande exitos deportivos compromiso valores hacen grandes gracias traernos casa 11a copa europa haber llevado tan alto nombre madrid espana
23,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-23,"Quiero el mejor sur de la Comunidad de Madrid, con los mejores servicios públicos y en torno a unos valores, a una forma de ver la vida. Por el esfuerzo, el trabajo, la libertad y la vida.","quiero el mejor sur de la comunidad de madrid, con los mejores servicios publicos y en torno a unos valores, a una forma de ver la vida. por el esfuerzo, el trabajo, la libertad y la vida.",positive,2,0.048141513,0.06283212,0.88902634,False,True,False,False,False,132600,566,0.0042684766214177,406,0.0030618401206636,1880,0.0141779788838612,1586985,0.4734,70,37,quiero mejor sur comunidad madrid mejores servicios publicos torno valores forma ver vida esfuerzo trabajo libertad vida
24,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-24,"Una gran universidad, un excelente hospital público, colegios, institutos, centros de salud, Metro… 

El PP ha llevado los mejores servicios a Móstoles.

Pido una amplia mayoría para el mejor Madrid.","una gran universidad, un excelente hospital publico, colegios, institutos, centros de salud, metro...   el pp ha llevado los mejores servicios a mostoles.  pido una amplia mayoria para el mejor madrid.",positive,2,0.15679516,0.059332997,0.7838719,False,True,False,False,False,108800,377,0.0034650735294117,347,0.0031893382352941,1639,0.0150643382352941,1586985,0.4734,70,30,gran universidad excelente hospital publico colegios institutos centros salud metro pp llevado mejores servicios mostoles pido amplia mayoria mejor madrid
25,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-25,"Se persigue a los castellanohablantes en su propio país. Sánchez permite que los nacionalistas incumplan las sentencias que amparan a personas, familias y empresas. Los que ahora gritan que “España es machista, racista, homófoba” callan desde hace décadas.","se persigue a los castellanohablantes en su propio pais. sanchez permite que los nacionalistas incumplan las sentencias que amparan a personas, familias y empresas. los que ahora gritan que ""espana es machista, racista, homofoba"" callan desde hace decadas.",negative,0,0.943844,0.037156098,0.018999955,False,True,True,False,https://theobjective.com/,328100,998,0.0030417555623285,1192,0.003633038707711,3350,0.0102103017372752,1586985,0.4734,70,38,persigue castellanohablantes propio pais sanchez permite nacionalistas incumplan sentencias amparan personas familias empresas ahora gritan espana machista racista homofoba callan hace decadas
26,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-26,"Entrevista en 
@20m
: 

El domingo hay que ir a votar masivamente.",entrevista en   :   el domingo hay que ir a votar masivamente.,neutral,1,0.04634123,0.92568564,0.0279731,False,True,True,False, @20m,131800,678,0.005144157814871,653,0.0049544764795144,2600,0.0197268588770864,1586985,0.4734,70,11,entrevista domingo ir votar masivamente
27,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,"El 28 de mayo hay un voto que #CuidaLoTuyo
El 28 de mayo #VotaSeguro

¡Vota a VOX!

@monasterioR
 
@Ortega_Smith",el 28 de mayo hay un voto que #cuidalotuyo el 28 de mayo #votaseguro  !vota a vox!,positive,2,0.12385888,0.14508608,0.731055,False,True,False,True, @VOX_AytoMadrid,10300,9,0.0008737864077669,126,0.0122330097087378,243,0.0235922330097087,245215,0.0731,11,17,28 mayo voto cuidalotuyo 28 mayo votaseguro vota vox
28,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,"El próximo 28 de mayo ya hay una verdadera alternativa en Madrid con 
@monasterioR
 y 
@Ortega_Smith
.

¡Vota a VOX!

#CuidaLoTuyo
#VotaSeguro",el proximo 28 de mayo ya hay una verdadera alternativa en madrid con    y   .  !vota a vox!  #cuidalotuyo #votaseguro,positive,2,0.104098454,0.10121494,0.79468656,False,True,False,True, @VOX_AytoMadrid,7014,8,0.0011405759908753,75,0.0106928999144568,164,0.0233818078129455,245215,0.0731,11,20,proximo 28 mayo verdadera alternativa madrid vota vox cuidalotuyo votaseguro
29,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Primer acto de campaña en Mercamadrid para apoyar a la España que madruga.

Si VOX gobierna el 28 de mayo, las empresas y los trabajadores de aquí tendrán prioridad sobre los de fuera y los autónomos podrán elegir dos meses al año con cuota bonificada.

#VotaSeguro","primer acto de campana en mercamadrid para apoyar a la espana que madruga.  si vox gobierna el 28 de mayo, las empresas y los trabajadores de aqui tendran prioridad sobre los de fuera y los autonomos podran elegir dos meses al ano con cuota bonificada.  #votaseguro",negative,0,0.7884366,0.10018722,0.111376144,False,True,False,False,False,16500,38,0.0023030303030303,247,0.0149696969696969,480,0.029090909090909,245215,0.0731,11,46,primer acto campana mercamadrid apoyar espana madruga si vox gobierna 28 mayo empresas trabajadores aqui tendran prioridad autonomos podran elegir dos meses ano cuota bonificada votaseguro
30,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Después de muchos meses denunciando el problema desde Vox es un primer paso que se reconozca:

“Madrid tiene un problema en Batán”

Cerremos el centro de Menas. 

https://larazon.es/madrid/madrid-tiene-problema-seguridad-batan_20230511645cebbaea3194000175c48b.html vía 
@larazon_es","despues de muchos meses denunciando el problema desde vox es un primer paso que se reconozca:  ""madrid tiene un problema en batan""  cerremos el centro de menas.    via",negative,0,0.5449588,0.18112797,0.27391323,False,True,True,False, @larazon_es,15900,65,0.0040880503144654,419,0.0263522012578616,936,0.0588679245283018,245215,0.0731,11,28,despues meses denunciando problema vox primer paso reconozca madrid problema batan cerremos centro menas via
31,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,En Mercamadrid lo tienen claro,en mercamadrid lo tienen claro,negative,0,0.60387087,0.21676508,0.17936404,False,True,False,True," @RuizBartolome_
",17000,16,0.0009411764705882,202,0.0118823529411764,508,0.0298823529411764,245215,0.0731,11,5,mercamadrid claro
32,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,¡Nos vemos esta tarde!,!nos vemos esta tarde!,positive,2,0.009986741,0.22731471,0.76269853,False,True,False,False,False,10800,72,0.0066666666666666,103,0.009537037037037,227,0.0210185185185185,245215,0.0731,11,4,vemos tarde
33,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Por desgracias esto no es un caso aislado, es el día a día en muchos barrios y municipios abandonados por la Administración.

El 28 de mayo se va a terminar la permisividad con los okupas.","por desgracias esto no es un caso aislado, es el dia a dia en muchos barrios y municipios abandonados por la administracion.  el 28 de mayo se va a terminar la permisividad con los okupas.",negative,0,0.8992874,0.06944611,0.03126641,False,False,True,False," @gaceta_es
",9959,18,0.0018074103825685,143,0.0143588713726277,254,0.0255045687318003,245215,0.0731,11,35,desgracias caso aislado dia dia barrios municipios abandonados administracion 28 mayo va terminar permisividad okupas
34,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Descubre 'El Debate conversa', un nuevo programa del canal Enfamilia con entrevistas en profundidad a personas de referencia en España Rocío Monasterio es la primera invitada al nuevo programa de conversaciones que produce este periódico","descubre 'el debate conversa', un nuevo programa del canal enfamilia con entrevistas en profundidad a personas de referencia en espana rocio monasterio es la primera invitada al nuevo programa de conversaciones que produce este periodico",neutral,1,0.13727227,0.6323018,0.23042588,False,True,False,True," @eldebate_com
",5975,3,0.0005020920502092,37,0.0061924686192468,60,0.0100418410041841,245215,0.0731,11,35,descubre debate conversa nuevo programa canal enfamilia entrevistas profundidad personas referencia espana rocio monasterio primera invitada nuevo programa conversaciones produce periodico
35,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Hoy en San Blas. Se acercan jóvenes a apoyarnos, están cansados de la inseguridad en las calles. 
Sin seguridad no hay libertad. 
Sólo queda Vox.","hoy en san blas. se acercan jovenes a apoyarnos, estan cansados de la inseguridad en las calles.  sin seguridad no hay libertad.  solo queda vox.",negative,0,0.95552105,0.026948996,0.017529912,False,True,False,False,False,18200,61,0.0033516483516483,254,0.0139560439560439,600,0.0329670329670329,245215,0.0731,11,25,hoy san blas acercan jovenes apoyarnos estan cansados inseguridad calles seguridad libertad solo queda vox
36,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,"📸 Más de 6.000 personas arropan a 
@Santi_ABASCAL
 y a nuestros candidatos 
@FloresJuberias
 y 
@JuanmaBadenas
 en el inicio de campaña de 
@vox_es
 en Valencia.

¡VOX no va a permitir que la Comunidad Valenciana sea una colonia del separatismo catalán!",mas de 6.000 personas arropan a    y a nuestros candidatos    y    en el inicio de campana de    en valencia.  !vox no va a permitir que la comunidad valenciana sea una colonia del separatismo catalan!,negative,0,0.9302064,0.041080594,0.028713018,False,True,False,True," @VOX_Valencia
",14200,23,0.0016197183098591,220,0.0154929577464788,405,0.0285211267605633,245215,0.0731,11,34,mas 6000 personas arropan candidatos inicio campana valencia vox va permitir comunidad valenciana colonia separatismo catalan
37,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-12,"Muy bueno el programa de 
@telemadrid
 de 
@ruta179
 👏👏
Por cierto 
@vox_es
 es el único partido que ha presentado candidatura en todos los municipios de la Comunidad de Madrid.",muy bueno el programa de    de     por cierto    es el unico partido que ha presentado candidatura en todos los municipios de la comunidad de madrid.,positive,2,0.06454862,0.045762293,0.8896891,False,False,False,False,False,5926,10,0.0016874789065136,87,0.0146810664866689,206,0.0347620654741815,245215,0.0731,11,25,bueno programa cierto unico partido presentado candidatura municipios comunidad madrid
38,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-13,"Los delincuentes, pandilleros y okupas saben que si VOX llega al gobierno se les acabará el chollo que les han permitido los demás durante años.

Nosotros estamos del lado de los vecinos honrados y trabajadores.","los delincuentes, pandilleros y okupas saben que si vox llega al gobierno se les acabara el chollo que les han permitido los demas durante anos.  nosotros estamos del lado de los vecinos honrados y trabajadores.",negative,0,0.9537625,0.026033353,0.020204132,False,True,False,False,False,28600,240,0.0083916083916083,382,0.0133566433566433,823,0.0287762237762237,245215,0.0731,11,35,delincuentes pandilleros okupas saben si vox llega gobierno acabara chollo permitido demas anos lado vecinos honrados trabajadores
39,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-13,"¿Cuento con vosotros?

📢Monasterio, contra Podemos: ""Ya saqué al de la coleta de la Ser y ahora me voy a encargar del resto""","?cuento con vosotros?  monasterio, contra podemos: ""ya saque al de la coleta de la ser y ahora me voy a encargar del resto""",negative,0,0.89721656,0.07132811,0.03145531,False,True,True,False,https://www.europapress.es/,95200,600,0.0063025210084033,851,0.0089390756302521,2734,0.0287184873949579,245215,0.0731,11,23,cuento monasterio podemos saque coleta ser ahora voy encargar resto
40,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-14,"Los comunistas siempre aprovechan los momentos de debilidad del pueblo para hacerse con el poder absoluto, no lo olvidemos.","los comunistas siempre aprovechan los momentos de debilidad del pueblo para hacerse con el poder absoluto, no lo olvidemos.",negative,0,0.8615724,0.08677557,0.051652037,False,False,False,False,False,3302040,11800,0.0035735484730651,24300,0.0073590871097866,43100,0.0130525372194158,245215,0.0731,11,19,comunistas siempre aprovechan momentos debilidad pueblo hacerse poder absoluto olvidemos
41,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-14,"Monasterio (Vox), contra Podemos: ""Ya saqué al de la coleta de la Ser y ahora me voy a encargar del resto""","monasterio (vox), contra podemos: ""ya saque al de la coleta de la ser y ahora me voy a encargar del resto""",negative,0,0.807107,0.13131769,0.061575353,False,True,False,True," @europapress
",110400,167,0.0015126811594202,308,0.0027898550724637,1441,0.013052536231884,245215,0.0731,11,21,monasterio vox podemos saque coleta ser ahora voy encargar resto
42,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-15,"Un fuerte abrazo a los familiares del fallecido anoche en el incendio del Hospital Clínico. DEP. 

Mis deseos de pronta recuperación a los afectados y mi profundo agradecimiento a los servicios de Emergencias.",un fuerte abrazo a los familiares del fallecido anoche en el incendio del hospital clinico. dep.   mis deseos de pronta recuperacion a los afectados y mi profundo agradecimiento a los servicios de emergencias.,positive,2,0.0054880716,0.0155917,0.9789202,False,True,True,False,https://okdiario.com/,48100,91,0.0018918918918918,242,0.005031185031185,785,0.0163201663201663,245215,0.0731,11,33,fuerte abrazo familiares fallecido anoche incendio hospital clinico dep deseos pronta recuperacion afectados profundo agradecimiento servicios emergencias
43,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-15,"Lluvia a San Isidro y un plan hidrológico nacional para los agricultores: ""Lo están pasando muy mal, son los grandes olvidados""","lluvia a san isidro y un plan hidrologico nacional para los agricultores: ""lo estan pasando muy mal, son los grandes olvidados""",negative,0,0.9255379,0.050737288,0.023724852,False,True,True,False,https://www.lavanguardia.com/,10900,105,0.0096330275229357,100,0.0091743119266055,227,0.0208256880733944,245215,0.0731,11,21,lluvia san isidro plan hidrologico nacional agricultores estan pasando mal grandes olvidados
